Time(s),X,Y,Z,Action,RSSI(dBm),PacketLoss(%)
1,4,0,10,0,-40.6446,0.0
2,8,0,10,0,-42.1484,0.0
3,8,-4,10,3,-42.5527,0.0
4,8,-8,10,3,-43.5793,0.0
5,8,-12,10,3,-44.8855,0.0
6,8,-16,10,3,-46.2325,0.0
7,8,-20,10,3,-47.5128,0.0
8,8,-24,10,3,-48.6923,0.0
9,8,-28,10,3,-49.7681,0.0
10,12,-28,10,0,-50.1199,0.0
11,16,-28,10,0,-50.569,0.0
12,20,-28,10,0,-51.0857,0.0
13,20,-32,10,3,-51.8298,0.0
14,24,-32,10,0,-52.3045,0.0
15,24,-36,10,3,-52.9491,0.0
16,28,-36,10,0,-53.3846,0.0
17,28,-36,6,5,-53.2552,0.0
18,32,-36,6,0,-53.7218,0.0
19,36,-36,6,0,-54.1963,0.0
20,36,-40,6,3,-54.6716,0.0
21,40,-40,6,0,-55.1001,0.0
22,40,-40,2,5,-55.0569,0.0
