time,drone_x,drone_y,drone_z,target_x,target_y,target_z,temp_x,temp_y,temp_z,rssi
1,5,0,10,50,-50,0,0.55,0.5,0.8,-76.6777
2,15,0,10,50,-50,0,0.65,0.5,0.8,-76.6777
3,25,0,10,50,-50,0,0.75,0.5,0.8,-76.6777
4,35,0,10,50,-50,0,0.85,0.5,0.8,-76.6777
5,45,0,10,50,-50,0,0.95,0.5,0.8,-76.6777
6,55,0,10,50,-50,0,0.95,0.5,0.8,-76.6777
7,65,0,10,50,-50,0,0.85,0.5,0.8,-76.6777
8,75,0,10,50,-50,0,0.75,0.5,0.8,-76.6777
9,85,0,10,50,-50,0,0.65,0.5,0.8,-76.6777
10,95,0,10,50,-50,0,0.55,0.5,0.8,-76.6777
11,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
12,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
13,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
14,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
15,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
16,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
17,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
18,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
19,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
20,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
21,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
22,100,0,5,50,-50,0,0.5,0.5,0.9,-76.6777
23,100,0,0,50,-50,0,0.5,0.5,1,-76.6777
24,100,0,0,50,-50,0,0.5,0.5,1,-76.6777
25,100,0,0,50,-50,0,0.5,0.5,1,-76.6777
26,100,0,0,50,-50,0,0.5,0.5,1,-76.6777
27,100,0,0,50,-50,0,0.5,0.5,1,-76.6777
28,100,0,5,50,-50,0,0.5,0.5,0.9,-76.6777
29,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
30,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
31,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
32,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
33,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
34,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
35,100,0,10,50,-50,0,0.5,0.5,0.8,-76.6777
36,100,0,5,50,-50,0,0.5,0.5,0.9,-76.6777
37,100,0,0,50,-50,0,0.5,0.5,1,-76.6777
38,100,0,0,50,-50,0,0.5,0.5,1,-76.6777
39,100,0,0,50,-50,0,0.5,0.5,1,-76.6777
40,100,0,0,50,-50,0,0.5,0.5,1,-76.6777
41,100,0,0,50,-50,0,0.5,0.5,1,-76.6777
42,100,-5,0,50,-50,0,0.5,0.55,1,-76.6777
43,100,-10,0,50,-50,0,0.5,0.6,1,-76.6777
44,100,-10,0,50,-50,0,0.5,0.6,1,-76.6777
45,100,-10,0,50,-50,0,0.5,0.6,1,-76.6777
46,100,-10,0,50,-50,0,0.5,0.6,1,-76.6777
47,100,-10,0,50,-50,0,0.5,0.6,1,-76.6777
48,100,-10,0,50,-50,0,0.5,0.6,1,-76.6777
49,100,-10,0,50,-50,0,0.5,0.6,1,-76.6777
50,100,-15,0,50,-50,0,0.5,0.65,1,-76.6777
51,100,-20,0,50,-50,0,0.5,0.7,1,-76.6777
52,100,-20,0,50,-50,0,0.5,0.7,1,-76.6777
53,100,-20,0,50,-50,0,0.5,0.7,1,-76.6777
54,100,-20,0,50,-50,0,0.5,0.7,1,-76.6777
55,100,-20,0,50,-50,0,0.5,0.7,1,-76.6777
