Time(S),X,Y,Z,Action,RSSI(dBm),PacketLoss(%),UDPSuccessRate(%),AverageDelay(ms)
0.5000,0,-4,10,-y,-40.6446,0.0000,100.0000,1.3962
1.0000,0,-8,10,-y,-42.1484,0.0000,100.0000,0.6736
1.5000,0,-12,10,-y,-43.8739,0.0000,100.0000,0.5069
2.0000,4,-12,10,+x,-44.1497,0.0000,100.0000,0.4327
2.5000,8,-12,10,+x,-44.8855,0.0000,100.0000,0.3909
3.0000,12,-12,10,+x,-45.8883,0.0000,100.0000,0.3639
3.5000,12,-16,10,-y,-46.9897,0.0000,100.0000,0.3452
4.0000,12,-20,10,-y,-48.0889,0.0000,100.0000,0.3313
4.5000,12,-24,10,-y,-49.1381,0.0000,100.0000,0.3207
5.0000,12,-28,10,-y,-50.1199,0.0000,100.0000,0.3123
5.5000,12,-32,10,-y,-51.0312,0.0000,100.0000,0.3055
6.0000,12,-36,10,-y,-51.8752,0.0000,100.0000,0.2999
6.5000,12,-40,10,-y,-52.6576,0.0000,100.0000,0.2951
7.0000,16,-40,10,+x,-52.9137,0.0000,100.0000,0.2911
7.5000,16,-44,10,-y,-53.6021,0.0000,100.0000,0.2876
8.0000,20,-44,10,+x,-53.8668,0.0000,100.0000,0.2846
8.5000,24,-44,10,+x,-54.1697,0.0000,100.0000,0.2819
9.0000,24,-48,10,-y,-54.7422,0.0000,100.0000,0.2795
9.5000,28,-48,10,+x,-55.0352,0.0000,100.0000,0.2774
10.0000,32,-48,10,+x,-55.3504,0.0000,100.0000,0.2755
10.5000,32,-52,10,-y,-55.8297,0.0000,100.0000,0.2738
11.0000,32,-52,6,-z,-55.7565,0.0000,100.0000,0.2730
11.5000,36,-52,6,+x,-56.0595,0.0000,100.0000,0.2724
12.0000,40,-52,6,+x,-56.3749,0.0000,100.0000,0.2719
12.5000,40,-56,6,-y,-56.7870,0.0000,100.0000,0.2734
13.0000,44,-56,6,+x,-57.0825,0.0000,100.0000,0.2752
13.5000,44,-56,2,-z,-57.0552,0.0000,100.0000,0.2769
